  sta seedchan net location config   ondate     offdate   digitizer  clip   corr
 SLC    ELN     UU    01       2   1994/01/05  2005/12/26 Masscomp  1.90e3 -0.21
 SPU    HHE     UU    01       1   2001/11/14  2010/06/27 72A-08    3.67e6 -0.10
 SPU    HHN     UU    01       1   2001/11/14  2010/06/27 72A-08    3.67e6 -0.10
 SPU    HHZ     UU    01   exclude 2001/11/14  2010/06/27 72A-08    3.67e6  0.00
 SPU    HHE     UU    01       1   2010/06/28  2099/01/01 130-01    4.41e6 -0.10
 SPU    HHN     UU    01       1   2010/06/28  2099/01/01 130-01    4.41e6 -0.10
 SPU    HHZ     UU    01   exclude 2010/06/28  2099/01/01 130-01    4.41e6  0.00
 SPU    ENE     UU    01       2   2001/11/14  2010/06/27 72A-08    5.19e6 -0.10
 SPU    ENN     UU    01       2   2001/11/14  2010/06/27 72A-08    5.19e6 -0.10
 SPU    ENE     UU    01       2   2010/06/28  2099/01/01 130-01    6.23e6 -0.10
 SPU    ENN     UU    01       2   2010/06/28  2099/01/01 130-01    6.23e6 -0.10
 SRU    HHE     UU    01       1   1998/09/09  2007/03/12 72A-07/08 3.67e6 -0.35
 SRU    HHN     UU    01       1   1998/09/09  2007/03/12 72A-07/08 3.67e6 -0.35
 SRU    HHZ     UU    01   exclude 1998/09/09  2007/03/12 72A-07/08 3.67e6  0.00
 SRU    HHE     UU    01       1   2007/03/13  2099/01/01 130-GSN   5.14e6 -0.35
 SRU    HHN     UU    01       1   2007/03/13  2099/01/01 130-GSN   5.14e6 -0.35
 SRU    HHZ     UU    01   exclude 2007/03/13  2099/01/01 130-GSN   5.14e6  0.00
 SRU    ENE     UU    01       2   2003/02/03  2007/03/12 72A-08    5.19e6 -0.35
 SRU    ENN     UU    01       2   2003/02/03  2007/03/12 72A-08    5.19e6 -0.35
 SRU    ENE     UU    01       2   2007/03/13  2099/01/01 130-GSN   7.27e6 -0.35
 SRU    ENN     UU    01       2   2007/03/13  2099/01/01 130-GSN   7.27e6 -0.35
 SVWY   HHE     UU    01       0   2018/05/08  2099/01/01 Centaur   5.60e6  0.00
 SVWY   HHN     UU    01       0   2018/05/08  2099/01/01 Centaur   5.60e6  0.00
 SVWY   HHZ     UU    01   exclude 2018/05/08  2099/01/01 Centaur   5.60e6  0.00
 SWUT   HHE     UU    01       0   2013/08/07  2099/01/01 Q330      5.87e6  0.00
 SWUT   HHN     UU    01       0   2013/08/07  2099/01/01 Q330      5.87e6  0.00
 SWUT   HHZ     UU    01   exclude 2013/08/07  2099/01/01 Q330      5.87e6  0.00
 SWUT   ENE     UU    01       0   2013/08/07  2099/01/01 Q330      8.30e6  0.00
 SWUT   ENN     UU    01       0   2013/08/07  2099/01/01 Q330      8.30e6  0.00
 SZCU   HHE     UU    01       0   2009/10/22  2011/07/20 SMART-24R 4.27e6  0.00
 SZCU   HHN     UU    01       0   2009/10/22  2011/07/20 SMART-24R 4.27e6  0.00
 SZCU   HHZ     UU    01   exclude 2009/10/22  2011/07/20 SMART-24R 4.27e6  0.00
