Evid,EqLon,EqLat,EqDep,CatMag,Namps
50268995,-110.578,44.416,2.21,1.03,3
50269030,-110.688,44.627,4.52,0.9,3
50269680,-110.618,44.663,5.82,1.55,3
50269980,-111.01,44.522,11.29,1.98,2
50270000,-111.011,44.519,10.95,2.62,3
50270165,-111.007,44.523,12.68,2.18,3
50270565,-111.0,44.519,13.34,2.05,3
50271215,-111.012,44.518,12.07,2.22,3
50271480,-111.007,44.522,11.66,2.69,3
50272515,-111.389,44.807,11.76,1.87,4
50272545,-110.665,44.635,5.48,1.68,3
50272900,-110.016,44.69,13.56,1.79,3
50273235,-111.01,44.522,12.1,2.37,4
50273310,-110.809,44.793,4.14,1.63,4
50273345,-110.804,44.791,3.57,1.75,4
50273580,-110.649,44.628,4.54,1.6,3
50273705,-110.303,44.385,4.64,1.74,3
50273710,-110.302,44.383,4.48,1.95,3
50273875,-110.99,44.678,5.01,2.5,4
50273890,-110.989,44.678,5.52,1.92,4
50273930,-110.99,44.68,5.44,2.54,2
50274015,-110.993,44.675,6.86,1.82,3
50274045,-110.992,44.679,5.24,2.06,4
50274285,-110.645,44.575,6.98,0.7,2
50274295,-110.686,44.627,5.02,1.37,3
50274385,-110.775,44.227,1.71,1.39,3
50274425,-109.999,44.677,13.25,2.28,4
50274945,-109.988,44.682,13.98,2.03,4
50275440,-111.073,44.745,7.31,1.99,3
50275885,-110.996,44.516,13.85,1.91,4
50275890,-111.002,44.517,13.19,1.99,4
50276170,-110.803,44.765,4.68,1.99,4
50276220,-110.593,44.478,4.45,1.59,3
50276835,-109.994,44.679,4.04,2.93,3
50276950,-110.896,44.598,11.48,1.67,4
50276970,-111.022,44.779,7.02,1.94,4
50277270,-110.515,44.095,5.82,4.31,4
50277300,-110.515,44.072,6.27,1.87,3
50277315,-110.517,44.086,6.38,2.24,4
50277330,-110.57,44.1,4.07,2.18,3
50277355,-110.519,44.086,5.98,2.2,3
50277360,-110.526,44.094,4.23,2.3,3
50277365,-110.523,44.093,4.12,2.43,3
50277970,-110.566,44.098,5.46,3.32,4
50278030,-110.564,44.093,5.29,2.45,4
50278040,-110.571,44.108,6.48,2.39,4
50278375,-110.567,44.1,4.97,2.61,4
50278420,-110.562,44.085,6.53,2.08,3
50279480,-110.505,44.096,7.73,2.0,3
50281005,-110.559,44.102,1.43,2.19,2
50281010,-110.57,44.119,6.09,2.41,3
50281015,-110.557,44.107,7.04,2.63,3
50281130,-110.41,44.23,8.55,2.23,2
50281385,-111.013,44.707,8.35,2.01,4
50281700,-110.781,44.227,2.21,2.28,2
50281710,-110.785,44.234,2.66,2.69,2
50281895,-111.007,44.759,5.7,1.95,5
50282005,-111.292,44.77,7.42,2.34,6
50282730,-110.38,44.612,3.55,2.13,4
50282810,-110.739,44.579,8.46,1.24,4
50284980,-110.942,44.751,7.97,2.4,4
50285560,-110.945,44.748,8.04,2.1,4
50285640,-110.943,44.749,9.25,2.64,4
50285820,-110.946,44.746,7.99,1.84,4
50286495,-110.944,44.749,8.1,2.05,4
50286890,-110.949,44.752,9.95,2.68,5
50286910,-110.947,44.752,9.38,2.22,5
50287640,-111.04,44.758,8.16,2.23,3
50287815,-111.123,44.801,10.71,2.99,4
50288180,-110.319,44.339,7.9,2.22,2
50288325,-110.484,44.076,6.74,1.93,4
50288455,-111.137,44.76,10.89,1.62,4
50288640,-111.145,44.725,9.52,1.98,3
50289250,-110.888,44.801,8.34,1.84,4
50289490,-111.211,44.749,10.08,1.69,4
50289745,-111.178,44.768,11.45,2.25,4
50289760,-111.187,44.782,11.98,1.61,4
50289980,-111.124,44.762,11.13,1.67,4
50290330,-111.166,44.785,10.95,1.61,3
50290585,-110.809,44.798,5.99,2.53,3
50290735,-111.081,44.747,10.75,1.79,4
50290865,-110.809,44.761,6.83,2.19,4
50290905,-110.773,44.253,3.91,1.82,3
50291510,-110.216,44.168,7.09,2.08,4
50291600,-110.409,44.167,6.25,1.92,2
50291870,-110.83,44.778,4.88,2.51,4
50293455,-111.495,44.87,13.25,1.66,3
50295300,-110.219,44.339,6.65,2.46,5
50295305,-110.227,44.341,5.59,1.97,4
50295490,-110.882,44.773,6.01,2.86,5
50296965,-111.167,44.717,7.45,1.87,4
50296980,-111.166,44.715,7.86,2.35,5
50297060,-111.161,44.712,6.67,1.42,3
50298190,-111.168,44.717,8.34,2.63,5
50298220,-111.167,44.716,7.82,2.11,4
50298225,-111.174,44.713,7.5,1.59,4
50298425,-111.173,44.72,8.15,1.32,3
50298570,-111.23,44.757,6.06,2.56,6
50298605,-111.227,44.751,5.83,1.63,3
50299065,-111.13,44.781,8.78,1.55,4
50299155,-111.13,44.786,8.99,1.5,4
50299160,-111.17,44.72,7.56,1.36,4
50299165,-111.17,44.718,8.08,1.85,4
50299230,-111.126,44.781,8.25,1.64,4
